Bacteria_Species,Antibiotic,Environment,High%,Moderate%,Low%
0,1,0,52.0,31.0,17.0
0,1,0,52.0,17.0,31.0
3,4,1,27.0,41.0,32.0
1,3,1,28.000000000000004,30.0,42.0
1,4,0,30.0,47.0,23.0
1,4,0,28.000000000000004,57.99999999999999,14.000000000000002
4,2,1,11.0,51.0,38.0
1,0,0,55.00000000000001,30.0,15.0
2,1,1,37.0,28.000000000000004,35.0
0,0,1,36.0,33.0,31.0
1,1,1,48.0,9.0,43.0
1,1,2,37.0,22.0,41.0
1,4,2,21.0,34.0,45.0
0,1,1,18.0,55.00000000000001,27.0
4,1,0,71.0,8.0,21.0
3,4,1,43.0,46.0,11.0
0,2,0,49.0,31.0,20.0
2,2,1,54.0,19.0,27.0
4,1,1,27.0,33.0,40.0
1,3,0,16.0,48.0,36.0
1,2,1,51.0,25.0,24.0
3,2,1,19.0,49.0,32.0
0,3,2,24.0,56.99999999999999,19.0
4,2,2,36.0,47.0,17.0
1,3,2,20.0,52.0,28.000000000000004
2,1,2,24.0,40.0,36.0
4,2,1,40.0,47.0,13.0
2,4,0,50.0,36.0,14.000000000000002
0,1,2,35.0,27.0,38.0
0,3,2,64.0,32.0,4.0
0,3,1,33.0,28.999999999999996,38.0
0,4,2,47.0,38.0,15.0
4,2,0,44.0,33.0,23.0
2,2,0,31.0,28.999999999999996,40.0
3,3,1,46.0,32.0,22.0
1,4,1,51.0,28.000000000000004,21.0
3,3,2,25.0,42.0,33.0
4,0,0,37.0,20.0,43.0
0,1,1,31.0,18.0,51.0
3,1,1,39.0,31.0,30.0
1,1,2,37.0,30.0,33.0
2,2,1,22.0,46.0,32.0
3,4,0,25.0,41.0,34.0
0,4,0,23.0,46.0,31.0
3,3,1,25.0,34.0,41.0
0,2,0,22.0,37.0,41.0
2,3,0,40.0,25.0,35.0
2,3,1,67.0,18.0,15.0
0,0,2,32.0,32.0,36.0
4,0,2,36.0,40.0,24.0
