Sample_ID,Bacteria_Species,Antibiotic,Resistance_Gene_Present,Minimum_Inhibitory_Concentration (MIC),Resistance_Level,Environment,Mutation_Frequency,Treatment_Success
SAMPLE_51,E. coli,Tetracycline,1,11.62,Moderate,Hospital,0.017,1
SAMPLE_52,S. aureus,Ciprofloxacin,0,39.31,Moderate,Hospital,0.881,1
SAMPLE_53,E. coli,Amoxicillin,0,28.47,Low,Community,0.146,0
SAMPLE_54,S. enterica,Vancomycin,0,28.68,Moderate,Community,0.749,1
SAMPLE_55,S. aureus,Amoxicillin,0,59.16,Moderate,Agricultural,0.536,1
SAMPLE_56,K. pneumoniae,Vancomycin,0,41.64,Low,Community,0.534,1
SAMPLE_57,S. enterica,Ciprofloxacin,0,10.59,High,Agricultural,0.228,0
SAMPLE_58,S. enterica,Amoxicillin,0,38.26,Moderate,Agricultural,0.71,1
SAMPLE_59,S. enterica,Erythromycin,0,17.51,Low,Agricultural,0.908,1
SAMPLE_60,P. aeruginosa,Tetracycline,0,17.46,High,Community,0.321,0
SAMPLE_61,S. enterica,Amoxicillin,0,43.74,High,Community,0.148,1
SAMPLE_62,E. coli,Tetracycline,1,20.46,High,Hospital,0.164,0
SAMPLE_63,S. aureus,Ciprofloxacin,0,37.9,High,Agricultural,0.433,1
SAMPLE_64,S. aureus,Vancomycin,0,22.15,High,Community,0.451,0
SAMPLE_65,S. enterica,Ciprofloxacin,1,28.53,High,Community,0.262,0
SAMPLE_66,P. aeruginosa,Tetracycline,1,26.93,High,Community,0.607,1
SAMPLE_67,S. aureus,Vancomycin,0,19.67,Moderate,Community,0.721,0
SAMPLE_68,E. coli,Erythromycin,0,60.7,Moderate,Hospital,0.235,0
SAMPLE_69,E. coli,Vancomycin,0,12.73,Moderate,Community,0.214,1
SAMPLE_70,E. coli,Ciprofloxacin,0,3.16,High,Agricultural,0.084,0
SAMPLE_71,E. coli,Tetracycline,0,36.07,Low,Community,0.998,1
SAMPLE_72,P. aeruginosa,Vancomycin,0,23.01,Low,Agricultural,0.048,0
SAMPLE_73,E. coli,Erythromycin,1,34.08,Moderate,Community,0.268,1
SAMPLE_74,P. aeruginosa,Vancomycin,1,30.98,High,Community,0.083,0
SAMPLE_75,S. enterica,Tetracycline,0,37.93,Low,Hospital,0.529,1
