Bacteria_Species,Antibiotic,Environment,High%,Moderate%,Low%
0,1,0,24.7,49.6,25.7
0,1,0,46.7,34.1,19.2
3,4,1,0.0,100.0,0.0
1,3,1,36.5,32.7,30.8
1,4,0,44.8,52.9,2.2
1,4,0,10.3,86.5,3.2
4,2,1,48.1,19.7,32.2
1,0,0,46.9,28.6,24.5
2,1,1,44.8,8.8,46.4
0,0,1,13.1,49.7,37.1
1,1,1,28.8,21.3,49.9
1,1,2,3.2,28.3,68.5
1,4,2,55.1,21.7,23.2
0,1,1,21.9,54.9,23.1
4,1,0,75.9,19.6,4.5
3,4,1,0.1,99.8,0.1
0,2,0,51.2,36.9,11.9
2,2,1,46.4,16.3,37.3
4,1,1,32.0,30.8,37.2
1,3,0,39.4,29.7,30.9
1,2,1,45.2,13.0,41.8
3,2,1,47.1,33.5,19.4
0,3,2,56.1,26.4,17.5
4,2,2,0.8,99.1,0.1
1,3,2,51.3,24.5,24.3
2,1,2,3.2,87.3,9.5
4,2,1,34.9,41.5,23.6
2,4,0,44.4,41.6,14.0
0,1,2,1.9,57.2,40.9
0,3,2,82.9,11.7,5.4
0,3,1,14.1,49.0,36.9
0,4,2,78.3,18.1,3.6
4,2,0,14.4,23.1,62.5
2,2,0,0.2,0.0,99.8
3,3,1,27.7,23.7,48.6
1,4,1,70.1,21.5,8.4
3,3,2,50.9,25.5,23.5
4,0,0,45.7,46.6,7.7
0,1,1,83.0,8.1,8.9
3,1,1,52.5,27.6,19.9
1,1,2,3.4,35.7,60.8
2,2,1,27.1,62.6,10.3
3,4,0,24.7,37.4,37.9
0,4,0,3.8,81.3,14.9
3,3,1,21.8,24.5,53.7
0,2,0,27.1,54.3,18.6
2,3,0,29.1,14.4,56.6
2,3,1,42.4,12.4,45.2
0,0,2,2.7,75.3,22.1
4,0,2,3.5,60.3,36.2
