Actual Resistance Level,Predicted Resistance Level,High%,Moderate%,Low%
Moderate,High,52.0,31.0,17.0
High,High,52.0,17.0,31.0
Moderate,Low,27.0,41.0,32.0
Moderate,Moderate,28.000000000000004,30.0,42.0
Moderate,Low,30.0,47.0,23.0
Moderate,Low,28.000000000000004,57.99999999999999,14.000000000000002
High,Low,11.0,51.0,38.0
Low,High,55.00000000000001,30.0,15.0
Moderate,High,37.0,28.000000000000004,35.0
High,High,36.0,33.0,31.0
High,High,48.0,9.0,43.0
High,Moderate,37.0,22.0,41.0
Moderate,Moderate,21.0,34.0,45.0
Low,Low,18.0,55.00000000000001,27.0
Low,High,71.0,8.0,21.0
Low,Low,43.0,46.0,11.0
High,High,49.0,31.0,20.0
Moderate,High,54.0,19.0,27.0
High,Moderate,27.0,33.0,40.0
Moderate,Low,16.0,48.0,36.0
Low,High,51.0,25.0,24.0
High,Low,19.0,49.0,32.0
High,Low,24.0,56.99999999999999,19.0
Moderate,Low,36.0,47.0,17.0
High,Low,20.0,52.0,28.000000000000004
High,Low,24.0,40.0,36.0
High,Low,40.0,47.0,13.0
Moderate,High,50.0,36.0,14.000000000000002
High,Moderate,35.0,27.0,38.0
Moderate,High,64.0,32.0,4.0
High,Moderate,33.0,28.999999999999996,38.0
Low,High,47.0,38.0,15.0
High,High,44.0,33.0,23.0
Low,Moderate,31.0,28.999999999999996,40.0
Low,High,46.0,32.0,22.0
High,High,51.0,28.000000000000004,21.0
Moderate,Low,25.0,42.0,33.0
High,Moderate,37.0,20.0,43.0
Low,Moderate,31.0,18.0,51.0
Low,High,39.0,31.0,30.0
Low,High,37.0,30.0,33.0
Moderate,Low,22.0,46.0,32.0
Moderate,Low,25.0,41.0,34.0
Moderate,Low,23.0,46.0,31.0
Low,Moderate,25.0,34.0,41.0
Moderate,Moderate,22.0,37.0,41.0
Low,High,40.0,25.0,35.0
Low,High,67.0,18.0,15.0
Moderate,Moderate,32.0,32.0,36.0
Low,Low,36.0,40.0,24.0
