Actual Resistance Level,Predicted Resistance Level,High%,Moderate%,Low%
Moderate,Low,24.7,49.6,25.7
High,High,46.7,34.1,19.2
Moderate,Low,0.0,100.0,0.0
Moderate,High,36.5,32.7,30.8
Moderate,Low,44.8,52.9,2.2
Moderate,Low,10.3,86.5,3.2
High,High,48.1,19.7,32.2
Low,High,46.9,28.6,24.5
Moderate,Moderate,44.8,8.8,46.4
High,Low,13.1,49.7,37.1
High,Moderate,28.8,21.3,49.9
High,Moderate,3.2,28.3,68.5
Moderate,High,55.1,21.7,23.2
Low,Low,21.9,54.9,23.1
Low,High,75.9,19.6,4.5
Low,Low,0.1,99.8,0.1
High,High,51.2,36.9,11.9
Moderate,High,46.4,16.3,37.3
High,Moderate,32.0,30.8,37.2
Moderate,High,39.4,29.7,30.9
Low,High,45.2,13.0,41.8
High,High,47.1,33.5,19.4
High,High,56.1,26.4,17.5
Moderate,Low,0.8,99.1,0.1
High,High,51.3,24.5,24.3
High,Low,3.2,87.3,9.5
High,Low,34.9,41.5,23.6
Moderate,High,44.4,41.6,14.0
High,Low,1.9,57.2,40.9
Moderate,High,82.9,11.7,5.4
High,Low,14.1,49.0,36.9
Low,High,78.3,18.1,3.6
High,Moderate,14.4,23.1,62.5
Low,Moderate,0.2,0.0,99.8
Low,Moderate,27.7,23.7,48.6
High,High,70.1,21.5,8.4
Moderate,High,50.9,25.5,23.5
High,Low,45.7,46.6,7.7
Low,High,83.0,8.1,8.9
Low,High,52.5,27.6,19.9
Low,Moderate,3.4,35.7,60.8
Moderate,Low,27.1,62.6,10.3
Moderate,Moderate,24.7,37.4,37.9
Moderate,Low,3.8,81.3,14.9
Low,Moderate,21.8,24.5,53.7
Moderate,Low,27.1,54.3,18.6
Low,Moderate,29.1,14.4,56.6
Low,Moderate,42.4,12.4,45.2
Moderate,Low,2.7,75.3,22.1
Low,Low,3.5,60.3,36.2
